zip,totkbtu,avgkbtu
92304,0,0
92365,0,0
93101,0,0
93105,0,0
93110,0,0
93111,0,0
93117,0,0
93201,9025046.377,27259.13831
93203,127452777.8,24887.85469
93204,135392451.3,51549.02922
93206,18305501.79,32461.35976
93210,122057584.8,26173.89238
93212,123686299,26635.00381
93219,4157561.506,30127.25729
93224,6228045.637,27186.81253
93230,39480597.63,40461.79619
93234,82684293.23,48932.25259
93239,21072784.26,49662.87189
93240,0,0
93241,89392224.84,24202.57881
93242,34189355.48,32704.0467
93243,10983202.8,23281.82895
93245,330819384.3,29335.54489
93249,14257391.55,22196.25047
93250,66273061.3,24926.39823
93251,0,0
93252,28182417.26,46763.83044
93254,8171737.997,25169.62422
93256,0,0
93263,161376928,26099.74981
93266,11878163.2,29480.44641
93268,323700360.5,52980.11919
93274,0,0
93276,0,0
93277,0,0
93280,162901725.4,24969.28949
93286,13205994.7,35373.20009
93287,0,0
93291,0,0
93292,6041254.768,33346.39246
93301,330102734.3,51216.80024
93304,1036132408,59390.55982
93305,691168107.1,57032.18891
93306,1452509097,58674.72095
93307,1351218040,54563.43668
93308,799399922.8,37991.60695
93309,1087955682,43528.29682
93311,850593775.1,49163.11411
93312,633169363.6,30145.18014
93313,993583748,58958.95906
93314,357074165.1,36423.28585
93401,197562161.2,15357.05868
93402,93182455.65,14597.3926
93405,127959846,14995.44089
93420,227316568.5,18486.53272
93422,290686426.2,21652.7546
93424,13705347.98,18261.62289
93426,21472160.31,20691.07233
93427,43465289.81,22738.83851
93428,58784430.65,14211.72471
93429,0,0
93430,32193426.65,13854.08355
93432,19613532.64,26935.49916
93433,79772721.98,13646.86032
93434,25663068.67,12894.39451
93435,0,0
93436,87202169.03,17926.23477
93437,0,0
93440,14447171.46,21549.54102
93441,15319273.91,30245.35817
93442,84532038.54,13702.52823
93444,131074708.2,16220.61172
93445,38944997.17,14561.14554
93446,430257742.3,22220.9962
93449,80809907.26,16041.40357
93450,9508993.487,42759.47008
93451,41349601.63,26173.39485
93452,3062072.962,12627.105
93453,31455882,24892.54708
93454,187794080,15719.37054
93455,268944437.1,16929.65108
93458,186266355,14388.1317
93460,75136672.44,34078.16423
93461,27124549.51,52460.62875
93463,80827541.2,23569.46186
93465,95335520.44,24912.921
93516,35588100,905165.7482
93523,15867100,757831.6418
93526,0,0
93555,449174300,680739.025
93561,82614400,1099022.005
93562,22004400,593243.7654
93601,26594641.35,27886.72633
93602,48880945.47,25843.56283
93603,3999821.611,17836.43974
93604,22803595.03,20108.99033
93606,18005839.45,54388.72138
93608,8358580.049,26264.19497
93609,53869414.65,34968.78588
93610,339433719.2,54724.86626
93611,1180863038,63838.1267
93612,853851625.8,51925.74721
93614,161915773.4,31267.42861
93615,36409840.77,24767.19513
93616,20388023.96,29759.9182
93618,238584726.1,27290.99786
93619,791102192.4,56231.79712
93620,170355494.2,50456.57833
93621,7132478.135,25710.34473
93622,139974188.5,50389.09541
93623,2737609.002,12615.70969
93624,7016414.137,31808.45094
93625,144310253.5,54077.98349
93626,26389172.41,32535.71036
93627,0,0
93628,2053399.538,7451.102042
93630,314031673.3,49943.7074
93631,182322745,30138.89687
93633,1406795.286,6132.053553
93635,821782596.5,56884.56259
93636,152775215.8,37692.80377
93637,736617707.7,55554.76117
93638,631882890.4,44966.63014
93640,162361330.9,53526.15464
93641,5949778.663,18075.27695
93643,44635364.36,25198.73788
93644,121229396.6,27646.38463
93645,6015322.491,30599.35138
93646,63559095.03,24202.23204
93647,76221590.16,25854.62538
93648,99410665.07,25430.68454
93650,77556957.67,62805.72475
93651,22373480.93,34175.3782
93652,4307061.08,30874.98982
93653,14534655.36,29382.72646
93654,263549510.2,27812.56099
93656,57116067.41,32839.48105
93657,629151265.5,50689.13864
93660,58055376.15,50220.00856
93662,480067490.9,49283.75273
93664,6418879.894,18291.74988
93665,12158627.9,51955.32264
93666,4646657.888,25554.48884
93667,28425374.76,27998.39917
93668,17809403.94,48787.87507
93669,3823724.393,17654.74903
93673,4712481.512,25869.06594
93675,48775240.73,28811.36543
93701,191604557.1,48210.08556
93702,727992867.4,55165.07951
93703,641684831.2,56046.27963
93704,795531673.1,61146.00366
93705,813074966,58315.87839
93706,623734475.9,53323.34314
93710,700224718,55142.11841
93711,1279764469,69900.22424
93720,1297200115,63005.56814
93721,82164097.21,46877.02557
93722,1731107281,58447.0057
93723,196706612.8,57750.00193
93725,394388466.1,52553.91762
93726,919585390.2,55307.6128
93727,1496484540,57689.73787
93728,364597335.3,59284.44089
93730,337781981.7,72207.0091
93737,75418126.77,47583.91544
93741,0,0
93901,538470370.7,47815.95135
93905,658436596.9,45113.51213
93906,893989914.1,47335.80414
93907,355399837.6,45106.20079
93908,323271358.3,60747.68903
93920,7190218.396,24168.80133
93921,126559376.6,59035.06697
93923,538511297.9,74645.67239
93924,165597980.6,59272.94216
93925,17844865.57,41031.32593
93926,118472010.9,48082.88074
93927,222940751.8,46105.48176
93930,209950476,47323.22555
93932,8547141.82,29038.98693
93933,425849250,46971.73253
93940,740283969.7,49044.71342
93943,0,0
93950,423891196.9,51271.94069
93953,321550097,104121.7523
93954,2892148.309,24475.16199
93955,521230184.4,51448.3378
93960,238004502.1,47425.0326
93962,17775042.37,58267.68334
94002,667595029.2,55782.13632
94005,102142487,48767.00264
94010,1474429856,76979.64004
94014,711537832.5,46679.0583
94015,1022404021,49202.28572
